20184_ART  CS .html,ART  CS  15,CRST,1.0 - 6.0,Pass/No Pass,T,10:00am - 11:50am,CRST 136,1 / 20
20184_ART  CS .html,ART  CS 101,CRST,1.0 - 6.0,Pass/No Pass,M,1:00pm - 4:50pm,CRST 120,6 / 9
20184_ART  CS .html,ART  CS 102,CRST,1.0 - 6.0,Pass/No Pass,T R,2:00pm - 3:50pm,CRST 136,3 / 12
20184_ART  CS .html,ART  CS 102,CRST,1.0 - 6.0,Pass/No Pass,W,2:00pm - 4:50pm,CRST 120,3 / 12
20184_ART  CS .html,ART  CS 105,CRST,1.0 - 6.0,Pass/No Pass,W,1:00pm - 4:50pm,CRST 107,7 / 0
20184_ART  CS .html,ART  CS 105,CRST,1.0 - 6.0,Pass/No Pass,W,6:00pm - 7:50pm,CRST 107,7 / 0
20184_ART  CS .html,ART  CS 112,CRST,1.0 - 6.0,Pass/No Pass,M,3:00pm - 4:50pm,CRST 136,5 / 8
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,M W F,10:00am - 10:50am,CAMPBHALL,110 / 110
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,F,2:00pm - 2:50pm,HSSB 1215,11 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,F,2:00pm - 2:50pm,HSSB 1214,3 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,W,6:00pm - 6:50pm,NH   1111,1 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,W,8:00 am - 8:50 am,HSSB 1224,0 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,F,9:00 am - 9:50 am,HSSB 1210,7 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,W,5:00pm - 5:50pm,HSSB 1237,6 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,F,2:00pm - 2:50pm,HSSB 1211,0 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,M,7:00pm - 7:50pm,HSSB 1233,3 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,W,4:00pm - 4:50pm,NH   1109,19 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,M,5:00pm - 5:50pm,SH   1609,3 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,F,4:00pm - 4:50pm,HSSB 1210,0 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,T,8:00 am - 8:50 am,HSSB 1232,1 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,F,12:00pm - 12:50pm,GIRV 2119,9 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,M,8:00 am - 8:50 am,HSSB 1215,0 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,W,5:00pm - 5:50pm,HSSB 1236,2 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,T,6:00pm - 6:50pm,GIRV 1112,6 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,T,7:00pm - 7:50pm,HSSB 1236,2 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,F,8:00 am - 8:50 am,BUCHN1934,1 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,R,7:00pm - 7:50pm,HSSB 2251,1 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,F,9:00 am - 9:50 am,HSSB 1207,4 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,F,2:00pm - 2:50pm,HSSB 1210,0 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,R,8:00 am - 8:50 am,HSSB 1233,2 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,F,2:00pm - 2:50pm,HSSB 1237,0 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,W,7:00pm - 7:50pm,HSSB 1237,0 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,F,2:00pm - 2:50pm,HSSB 1207,1 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,F,1:00pm - 1:50pm,HSSB 1224,2 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,F,3:00pm - 3:50pm,HSSB 1237,0 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,M,9:00 am - 9:50 am,HSSB 1228,6 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,W,9:00 am - 9:50 am,PHELP1508,10 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,F,3:00pm - 3:50pm,HSSB 1211,1 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,F,4:00pm - 4:50pm,HSSB 1207,0 / 25
20184_ANTH.html,ANTH      2,L&S,4.0,Optional,M,4:00pm - 4:50pm,NH   1111,7 / 25
